         1031173 function calls (1012260 primitive calls) in 4.191 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    12670    0.006    0.000    0.041    0.000 /home/users/mmingyeong/.conda/envs/new_env/lib/python3.10/re.py:288(_compile)
      144    0.002    0.000    0.040    0.000 /home/users/mmingyeong/.local/lib/python3.10/site-packages/matplotlib/axis.py:1497(get_minorticklocs)
        1    0.000    0.000    0.039    0.039 /home/users/mmingyeong/.conda/envs/new_env/lib/python3.10/site-packages/dask/sizeof.py:306(_register_entry_point_plugins)
        1    0.000    0.000    0.039    0.039 /home/users/mmingyeong/.local/lib/python3.10/site-packages/importlib_metadata/__init__.py:1027(entry_points)
      109    0.000    0.000    0.038    0.000 /home/users/mmingyeong/.local/lib/python3.10/site-packages/importlib_metadata/__init__.py:1036(<genexpr>)
        1    0.000    0.000    0.038    0.038 /home/users/mmingyeong/.conda/envs/new_env/lib/python3.10/site-packages/dask/array/ufunc.py:1(<module>)
        1    0.000    0.000    0.038    0.038 /home/users/mmingyeong/.conda/envs/new_env/lib/python3.10/site-packages/dask/utils.py:1(<module>)
        2    0.000    0.000    0.037    0.019 /home/users/mmingyeong/.local/lib/python3.10/site-packages/matplotlib/backends/backend_pdf.py:1693(_writePng)
        2    0.000    0.000    0.037    0.019 /home/users/mmingyeong/.local/lib/python3.10/site-packages/matplotlib/figure.py:658(add_subplot)
        2    0.000    0.000    0.037    0.018 /home/users/mmingyeong/.local/lib/python3.10/site-packages/matplotlib/axes/_base.py:569(__init__)
      853    0.001    0.000    0.037    0.000 /home/users/mmingyeong/.conda/envs/new_env/lib/python3.10/inspect.py:3252(signature)
      853    0.001    0.000    0.036    0.000 /home/users/mmingyeong/.conda/envs/new_env/lib/python3.10/inspect.py:2998(from_callable)
        1    0.000    0.000    0.036    0.036 /home/users/mmingyeong/.conda/envs/new_env/lib/python3.10/site-packages/tlz/__init__.py:1(<module>)
      302    0.002    0.000    0.036    0.000 /home/users/mmingyeong/.conda/envs/new_env/lib/python3.10/site-packages/dask/utils.py:814(extra_titles)
        1    0.000    0.000    0.035    0.035 /home/users/mmingyeong/.local/lib/python3.10/site-packages/matplotlib/pyplot.py:1459(subplots)
  947/853    0.006    0.000    0.035    0.000 /home/users/mmingyeong/.conda/envs/new_env/lib/python3.10/inspect.py:2375(_signature_from_callable)
        1    0.000    0.000    0.035    0.035 /home/users/mmingyeong/.conda/envs/new_env/lib/python3.10/site-packages/dask/array/core.py:1(<module>)
        1    0.000    0.000    0.034    0.034 /home/users/mmingyeong/.conda/envs/new_env/lib/python3.10/site-packages/tlz/_build_tlz.py:1(<module>)
       14    0.010    0.001    0.032    0.002 /home/users/mmingyeong/.local/lib/python3.10/site-packages/matplotlib/colors.py:1329(__call__)
       80    0.000    0.000    0.032    0.000 /home/users/mmingyeong/.local/lib/python3.10/site-packages/matplotlib/axis.py:1317(<listcomp>)
       95    0.001    0.000    0.032    0.000 /home/users/mmingyeong/.conda/envs/new_env/lib/python3.10/sre_compile.py:783(compile)
       80    0.000    0.000    0.032    0.000 /home/users/mmingyeong/.conda/envs/new_env/lib/python3.10/site-packages/dask/array/ufunc.py:84(__init__)
        1    0.000    0.000    0.032    0.032 /home/users/mmingyeong/.conda/envs/new_env/lib/python3.10/site-packages/dask/_compatibility.py:1(<module>)
      302    0.017    0.000    0.031    0.000 /home/users/mmingyeong/.conda/envs/new_env/lib/python3.10/site-packages/dask/utils.py:816(<dictcomp>)
       48    0.000    0.000    0.030    0.001 /home/users/mmingyeong/.local/lib/python3.10/site-packages/matplotlib/artist.py:350(get_tightbbox)
       16    0.000    0.000    0.030    0.002 /home/users/mmingyeong/.local/lib/python3.10/site-packages/matplotlib/axis.py:2358(_update_label_position)
       26    0.000    0.000    0.029    0.001 /home/users/mmingyeong/.local/lib/python3.10/site-packages/matplotlib/axis.py:1555(_get_tick)
5059/4246    0.003    0.000    0.029    0.000 /home/users/mmingyeong/.local/lib/python3.10/site-packages/matplotlib/_api/deprecation.py:289(wrapper)
      604    0.001    0.000    0.029    0.000 /home/users/mmingyeong/.conda/envs/new_env/lib/python3.10/site-packages/dask/utils.py:698(get_named_args)
        1    0.000    0.000    0.029    0.029 /home/users/mmingyeong/.local/lib/python3.10/site-packages/importlib_metadata/__init__.py:1(<module>)
       41    0.029    0.001    0.029    0.001 {built-in method posix.listdir}
        1    0.000    0.000    0.029    0.029 /home/users/mmingyeong/.conda/envs/new_env/lib/python3.10/site-packages/toolz/__init__.py:1(<module>)
      144    0.000    0.000    0.029    0.000 /home/users/mmingyeong/.local/lib/python3.10/site-packages/matplotlib/axis.py:1493(get_majorticklocs)
        2    0.000    0.000    0.028    0.014 /home/users/mmingyeong/.local/lib/python3.10/site-packages/matplotlib/axes/_base.py:1381(clear)
        2    0.000    0.000    0.028    0.014 /home/users/mmingyeong/.local/lib/python3.10/site-packages/matplotlib/axes/_base.py:1254(__clear)
       53    0.000    0.000    0.028    0.001 /home/users/mmingyeong/.conda/envs/new_env/lib/python3.10/re.py:249(compile)
     7567    0.027    0.000    0.027    0.000 {method 'reduce' of 'numpy.ufunc' objects}
       34    0.000    0.000    0.027    0.001 <frozen importlib._bootstrap_external>:1587(_fill_cache)
       36    0.000    0.000    0.026    0.001 /home/users/mmingyeong/.local/lib/python3.10/site-packages/matplotlib/backends/backend_agg.py:208(get_text_width_height_descent)
      316    0.001    0.000    0.026    0.000 /home/users/mmingyeong/.conda/envs/new_env/lib/python3.10/site-packages/dask/utils.py:808(skip_doctest)
        1    0.000    0.000    0.025    0.025 /home/users/mmingyeong/.conda/envs/new_env/lib/python3.10/site-packages/dask/array/reductions.py:1(<module>)
       70    0.000    0.000    0.025    0.000 /home/users/mmingyeong/.conda/envs/new_env/lib/python3.10/site-packages/dask/utils.py:875(unsupported_arguments)
        1    0.000    0.000    0.025    0.025 /home/users/mmingyeong/.conda/envs/new_env/lib/python3.10/site-packages/dask/array/routines.py:1(<module>)
        1    0.000    0.000    0.024    0.024 /home/users/mmingyeong/.local/lib/python3.10/site-packages/matplotlib/figure.py:799(subplots)
      117    0.004    0.000    0.024    0.000 /home/users/mmingyeong/.conda/envs/new_env/lib/python3.10/site-packages/dask/utils.py:879(<listcomp>)
        1    0.000    0.000    0.024    0.024 /home/users/mmingyeong/.local/lib/python3.10/site-packages/matplotlib/gridspec.py:264(subplots)
    76/75    0.000    0.000    0.023    0.000 /home/users/mmingyeong/.local/lib/python3.10/site-packages/fontTools/ttLib/ttFont.py:935(getTableClass)
      145    0.000    0.000    0.023    0.000 /home/users/mmingyeong/.local/lib/python3.10/site-packages/matplotlib/axis.py:1606(get_major_ticks)
        1    0.002    0.002    0.023    0.023 /home/users/mmingyeong/.local/lib/python3.10/site-packages/fontTools/ttLib/tables/otTables.py:2581(_buildClasses)
    12376    0.006    0.000    0.023    0.000 /home/users/mmingyeong/.conda/envs/new_env/lib/python3.10/re.py:187(match)
      316    0.005    0.000    0.023    0.000 /home/users/mmingyeong/.conda/envs/new_env/lib/python3.10/site-packages/dask/utils.py:811(<listcomp>)
        1    0.000    0.000    0.022    0.022 /home/users/mmingyeong/.local/lib/python3.10/site-packages/matplotlib/backends/backend_pdf.py:956(writeFonts)
        1    0.000    0.000    0.022    0.022 /home/users/mmingyeong/.local/lib/python3.10/site-packages/matplotlib/backends/backend_pdf.py:1138(embedTTF)
30563/30562    0.011    0.000    0.022    0.000 {built-in method builtins.getattr}
      108    0.000    0.000    0.022    0.000 /home/users/mmingyeong/.local/lib/python3.10/site-packages/importlib_metadata/__init__.py:510(entry_points)
       78    0.000    0.000    0.022    0.000 /home/users/mmingyeong/.conda/envs/new_env/lib/python3.10/site-packages/numpy/ma/core.py:2808(__new__)
       48    0.000    0.000    0.022    0.000 /home/users/mmingyeong/.local/lib/python3.10/site-packages/matplotlib/colors.py:1294(process_value)
       26    0.001    0.000    0.022    0.001 /home/users/mmingyeong/.local/lib/python3.10/site-packages/matplotlib/axis.py:65(__init__)
    77/76    0.000    0.000    0.022    0.000 /home/users/mmingyeong/.local/lib/python3.10/site-packages/fontTools/ttLib/ttFont.py:874(getTableModule)
        1    0.000    0.000    0.022    0.022 /home/users/mmingyeong/.conda/envs/new_env/lib/python3.10/site-packages/dask/array/linalg.py:1(<module>)
       62    0.000    0.000    0.022    0.000 /home/users/mmingyeong/.conda/envs/new_env/lib/python3.10/site-packages/numpy/ma/core.py:6660(array)
        1    0.000    0.000    0.021    0.021 /home/users/mmingyeong/.local/lib/python3.10/site-packages/matplotlib/backends/backend_pdf.py:1155(embedTTFType3)
      326    0.021    0.000    0.021    0.000 {method 'astype' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.021    0.021 /home/users/mmingyeong/.local/lib/python3.10/site-packages/matplotlib/pyplot.py:2327(colorbar)
        1    0.000    0.000    0.021    0.021 /home/users/mmingyeong/.local/lib/python3.10/site-packages/matplotlib/figure.py:1205(colorbar)
        1    0.000    0.000    0.021    0.021 /home/users/mmingyeong/.conda/envs/new_env/lib/python3.10/site-packages/dask/system.py:1(<module>)
      168    0.002    0.000    0.021    0.000 /home/users/mmingyeong/.local/lib/python3.10/site-packages/matplotlib/axis.py:2757(get_tick_space)
        1    0.000    0.000    0.020    0.020 /home/users/mmingyeong/.conda/envs/new_env/lib/python3.10/site-packages/dask/array/random.py:1(<module>)
     1275    0.020    0.000    0.020    0.000 {built-in method posix.stat}
       36    0.000    0.000    0.020    0.001 /home/users/mmingyeong/.local/lib/python3.10/site-packages/matplotlib/backends/_backend_pdf_ps.py:109(get_text_width_height_descent)
  929/878    0.002    0.000    0.020    0.000 /home/users/mmingyeong/.conda/envs/new_env/lib/python3.10/typing.py:306(inner)
     1205    0.001    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
       95    0.000    0.000    0.020    0.000 /home/users/mmingyeong/.conda/envs/new_env/lib/python3.10/sre_parse.py:944(parse)
      683    0.007    0.000    0.019    0.000 /home/users/mmingyeong/.conda/envs/new_env/lib/python3.10/inspect.py:2280(_signature_from_function)
      288    0.001    0.000    0.019    0.000 /home/users/mmingyeong/.local/lib/python3.10/site-packages/matplotlib/ticker.py:213(format_ticks)
      142    0.001    0.000    0.019    0.000 /home/users/mmingyeong/.local/lib/python3.10/site-packages/matplotlib/transforms.py:651(union)
  294/293    0.001    0.000    0.019    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
