Tue Apr 15 10:31:42 2025    cprofile_batch_density.prof

         816132 function calls (811346 primitive calls) in 2429.746 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1218    0.002    0.000    0.002    0.000 {built-in method builtins.max}
     1196    0.002    0.000    0.002    0.000 {method 'startswith' of 'bytes' objects}
     1168    0.002    0.000    0.002    0.000 {method 'find' of 'str' objects}
       14    0.000    0.000    0.002    0.000 process.py:67(__init__)
      598    0.002    0.000    0.002    0.000 contextlib.py:452(__init__)
       16    0.000    0.000    0.002    0.000 threading.py:545(__init__)
       85    0.000    0.000    0.001    0.000 util.py:171(register_after_fork)
      603    0.001    0.000    0.001    0.000 {method 'acquire' of '_multiprocessing.SemLock' objects}
      282    0.001    0.000    0.001    0.000 {built-in method _thread.allocate_lock}
      600    0.001    0.000    0.001    0.000 utils.py:108(__init__)
     1812    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
       71    0.001    0.000    0.001    0.000 tempfile.py:142(rng)
       14    0.000    0.000    0.001    0.000 context.py:60(Pipe)
      598    0.001    0.000    0.001    0.000 {method '__enter__' of '_io._IOBase' objects}
      584    0.001    0.000    0.001    0.000 posixpath.py:52(normcase)
      599    0.001    0.000    0.001    0.000 {built-in method builtins.min}
       14    0.000    0.000    0.001    0.000 format.py:338(header_data_from_array_1_0)
       14    0.000    0.000    0.001    0.000 context.py:85(BoundedSemaphore)
      598    0.001    0.000    0.001    0.000 {built-in method _struct.unpack}
      598    0.001    0.000    0.001    0.000 {built-in method sys.exc_info}
        1    0.000    0.000    0.001    0.001 _monitor.py:30(__init__)
        1    0.000    0.000    0.001    0.001 synchronize.py:186(__init__)
       15    0.001    0.000    0.001    0.000 {built-in method builtins.print}
      655    0.001    0.000    0.001    0.000 process.py:37(current_process)
      584    0.001    0.000    0.001    0.000 {built-in method sys._getframe}
       14    0.000    0.000    0.001    0.000 synchronize.py:144(__init__)
      598    0.001    0.000    0.001    0.000 {method 'seek' of '_io.BufferedReader' objects}
       42    0.000    0.000    0.001    0.000 connection.py:516(Pipe)
      373    0.001    0.000    0.001    0.000 _base.py:400(__get_result)
      612    0.001    0.000    0.001    0.000 format.py:196(_check_version)
